Module_name,Comment,Code,Module_description,Optional,ModType,thumbnail_image_URL
A1,updated,"<!--  -->
<!--  -->
<!-- START OF LOGO - A1 MODULE -->
<!-- Eloqua file https://images.go.sage.com/Web/SageGlobalInstance/{70a611b5-d2bf-4b34-b32f-66973dba562c}_A1.html -->
<!--  -->
<!--  -->
<tr>
        <td
                bgcolor=""#000000""
                align=""center""
                style=""background-color: #000000; padding: 16px 30px 16px 30px; mso-padding-alt: 18px 30px 18px 30px; line-height: 44px""
                class=""content""
        >
                <table
                        cellspacing=""0""
                        border=""0""
                        align=""center""
                        style=""background-color: #000000; padding: 0; margin: 0; padding-top: 0; padding-right: 0px; padding-bottom: 0px; padding-left: 0px; mso-cellspacing: 0px; mso-padding-alt: 0px 0px 0px 0px; border-collapse: collapse; mso-table-lspace: 0pt; mso-table-rspace: 0""
                        bgcolor=""#000000""
                >
                        <tbody>
                                <tr>
                                        <td
                                                align=""center""
                                                valign=""top""
                                        >
                                                <a
                                                        href=""https://www.sage.com?elqTrackId=ce56cdeecb6f47a8a2f3a149c3f99033""
                                                        target=""_blank""
                                                >
                                                        <img
                                                                src=""https://images.go.sage.com/EloquaImages/clients/SageGlobalInstance/%7Bcb0ebe35-eb40-4b11-ba83-72f57b341ed4%7D_Sage_Logo_Brilliant_Green_RGB.png""
                                                                width=""120""
                                                                border=""0""
                                                                alt=""Sage""
                                                                style=""max-width: 120px; margin-left: auto !important; margin-right: auto !important; border-collapse: collapse; line-height: 44px""
                                                        />
                                                </a>
                                        </td>
                                </tr>
                        </tbody>
                </table>
        </td>
</tr>
<!--  -->
<!--  -->
<!-- END OF LOGO - A1 MODULE -->
<!--  -->
<!--  -->
",A1,No,Non_Module,
A2N,1200x640 image only,"<!-- Start: Q Hero - Photography Only -->
                        
                        <tr>
                          <td>
                            <table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"" class=""fluid"" style=""margin: 0;padding-top:0;padding-right:0px;padding-bottom:0px;padding-left:0px; mso-cellspacing: 0px; mso-padding-alt: 0px 0px 0px 0px; border-collapse:collapse; mso-table-lspace:0pt;mso-table-rspace:0pt; background-color:#000000;"">
                              <tbody>
                                <tr>
                                  <td style=""margin: 0;padding-top:0;padding-right:0px;padding-bottom:0px;padding-left:0px; mso-cellspacing: 0px; mso-padding-alt: 0px 0px 0px 0px; border-collapse:collapse; mso-table-lspace:0pt;mso-table-rspace:0pt"">
                                  </td>
                                </tr>
                                <tr>
                                  <td align=""center"" valign=""top"" class=""max-width"" width=""100%"" style=""font-size:0;  padding: 0px 0px 0px 0px; mso-padding-alt: 0px 0px 0px 0px;"">
                                    
                                    <div data-cl-component=""Banner21"" data-cl-component-type=""linked_image"">
                                      <a href=""#"" target=""_blank""><img alt=""Sage"" border=""0"" src=""https://images.go.sage.com/EloquaImages/clients/SageGlobalInstance/%7B0ba8b26f-66a2-4c09-954e-37dd2fc5b40b%7D_photo_placeholder.jpg"" style=""width:100%; max-width: 600px; height: auto; display: block; border-collapse:collapse;"" width=""600"" class=""""> </a>
                                    </div>
                                  </td>
                                </tr>
                              </tbody>
                            </table>
                          </td>
                        </tr>
                        
                                                  
                                                       
                        <!-- End: Q Hero - Photography Only --> ",A2,Yes,,https://images.go.sage.com/EloquaImages/clients/SageGlobalInstance/%7Bc6416b0b-a7a9-4f02-bc97-4bb2c9df47ea%7D_Q2_placeholder.jpg
Q4AN_Top,Q4 top image w/o button,"  <!-- Start: Q4 Hero - Illustration with Headline & Primary CTA Above -->
                        
                        <tr>
                          <td align=""center"" valign=""top"" style=""padding: 30px 40px 30px 40px; mso-padding-alt: 32px 40px 32px 40px; mso-table-lspace: 0pt; mso-table-rspace: 0pt;  background-color: #000000;"" class=""content"">
                            <table align=""left"" border=""0"" cellpadding=""0"" cellspacing=""0"" width=""100%"" style=""mso-cellspacing: 0px; mso-padding-alt: 0px; border-collapse:collapse"">
                              <tbody>
                                <tr>
                                  <td valign=""top"" align=""left"" style=""
                                                                       font-family: 'Sage-Headline-Black', Helvetica, Roboto, Segoe UI, Arial, SansSerif; 
                                                                       font-weight: 900; 
                                                                       line-height: 42px; 
                                                                       display: block;"">
                                    <div data-cl-component=""C41"" data-cl-component-type=""restricted_text"">
                                      <h2 style="" text-align: center; font-weight:900; margin: 0px 0px 0px 0px; color: #ffffff; font-size: 36px; line-height: 43.2px; "" class="""">[50/2] Q4 Lorem ips dolar elit sit amat consectetur</h2>
                                    </div>
                                  </td>
                                </tr>
                              </tbody>
                            </table>
                          </td>
                        </tr> 
<!-- END: Q4 Hero - Illustration with Headline & Primary CTA Above -->
",Q4T,Yes,,https://images.go.sage.com/EloquaImages/clients/SageGlobalInstance/%7Bb9e120d3-b8e4-4d91-b6af-1890e194fd29%7D_builder5_q4Top.png
std-darkbg-primary-wide,,"

<!-- START: std-darkbg-primary-wide -->

<tr bgcolor=""#000000"">
  <td align=""center"" bgcolor=""#ffffff"" valign=""top"" class=""content"" width=""100%"" style=""background-color: #000000; padding: 0px 40px 32px 40px; font-size: 0; padding-top: 0px; mso-padding-alt: 0px 40px 32px 40px"">
    <table cellpadding=""0"" cellspacing=""0"" border=""0"" width=""100%"" style=""max-width: 100%; min-width: 100%; width: 100%; text-align: center"" class=""max-width"">
      <tbody>
        <tr>
          <td align=""center"">
            <table
              border=""0""
              bgcolor=""#000000""
              cellspacing=""0""
              cellpadding=""0""
              width=""100%""
              style=""border-collapse: collapse; max-width: 100%; min-width: 100%; width: 100%; mso-cellspacing: 0px; mso-padding-alt: 0px; background-color: #000000; height: 36px; text-align: center; -webkit-text-size-adjust: none""
              class=""no-pad-bottom-center""
            >
              <tbody>
                <tr>
                  <td bgcolor=""#ffffff"" style=""width: 100% !important; padding: 12px 0px 12px 0px; border-radius: 26px; font-size: 16px; font-family: 'Sage-Text', Helvetica, Roboto, Segoe UI, Arial, SansSerif"" align=""center"" class=""sage-button-darkbg-primary-large"">
                    <div data-cl-component=""C12"" data-cl-component-type=""restricted_text"">
                      <div style=""height: 100%; width: 100%"" class="""">
                        <strong><a href=""#"" target=""_blank"" style=""font-size: 16px; color: #000000; text-decoration: none"">[40/1] Primary button</a></strong>
                      </div>
                    </div>
                  </td>
                </tr>
              </tbody>
            </table>
          </td>
        </tr>
      </tbody>
    </table>
  </td>
</tr>

<!-- END: std-darkbg-primary-wide -->

",std-darkbg-primary-wide,Yes,,https://images.go.sage.com/EloquaImages/clients/SageGlobalInstance/%7Bdcd854a3-6d2a-43aa-b501-c728de87e8c2%7D_builder5_std-darkbg-primary-wide.png
cnv-darkbg-primary-wide,,"

<!-- START: cnv-darkbg-primary-wide -->

<tr bgcolor=""#000000"">
  <td align=""center"" bgcolor=""#ffffff"" valign=""top"" class=""content"" width=""100%"" style=""background-color: #000000; padding: 0px 40px 32px 40px; font-size: 0; padding-top: 0px; mso-padding-alt: 0px 40px 32px 40px"">
    <table cellpadding=""0"" cellspacing=""0"" border=""0"" width=""100%"" style=""max-width: 100%; min-width: 100%; width: 100%; text-align: center"" class=""max-width"">
      <tbody>
        <tr>
          <td align=""center"">
            <table border=""0"" bgcolor=""#000000"" cellspacing=""0"" cellpadding=""0"" width=""100%"" style=""border-collapse: collapse; max-width: 100%; min-width: 100%; width: 100%; mso-cellspacing: 0px; mso-padding-alt: 0px; background-color: #000000; height: 36px; text-align: center; -webkit-text-size-adjust: none"" class=""no-pad-bottom-center"">
              <tbody>
                <tr>
                  <td bgcolor=""#00D639"" style=""width: 100% !important; padding: 12px 0px 12px 0px; border-radius: 26px; color: #000000; font-size: 16px; font-family: 'Sage-Text', Helvetica, Roboto, Segoe UI, Arial, SansSerif"" align=""center"" class=""sage-button-alternate-darkbg-primary-large"">
                    <div data-cl-component=""C12"" data-cl-component-type=""restricted_text"">
                      <div height: 100%; width: 100%>
                        <strong><a href=""#"" target=""_blank"" style=""font-size: 16px; color: #000000; text-decoration: none"">[40/1] Primary button</a></strong>
                      </div>
                    </div>
                  </td>
                </tr>
              </tbody>
            </table>
          </td>
        </tr>
      </tbody>
    </table>
  </td>
</tr>

<!-- END: cnv-darkbg-primary-wide -->

",cnv-darkbg-primary-wide,Yes,,https://images.go.sage.com/EloquaImages/clients/SageGlobalInstance/%7B04322fff-5f6a-47f8-b619-c2474b00e83e%7D_builder5_cnv-darkbg-primary-wide.png
Q4AN_Bot,q4 bottom image w/o button,"<tr>
                          <td>
                            <table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"" class=""fluid"" style=""margin: 0;padding-top:0;padding-right:0px;padding-bottom:0px;padding-left:0px; mso-cellspacing: 0px; mso-padding-alt: 0px 0px 0px 0px; border-collapse:collapse; mso-table-lspace:0pt;mso-table-rspace:0pt; background-color:#000000;"">
                              <tbody>
                                <tr>
                                  <td style=""margin: 0;padding-top:0;padding-right:0px;padding-bottom:0px;padding-left:0px; mso-cellspacing: 0px; mso-padding-alt: 0px 0px 0px 0px; border-collapse:collapse; mso-table-lspace:0pt;mso-table-rspace:0pt"">
                                  </td>
                                </tr>
                                <tr>
                                  <td align=""center"" valign=""top"" class=""max-width"" width=""100%"" style=""font-size:0;  padding: 20px 0px 32px 0px; mso-padding-alt: 20px 0px 32px 0px;"">
                                 
                                    <div data-cl-component=""Banner12"" data-cl-component-type=""linked_image"">
                                      <a href=""#""><img alt=""Sage"" border=""0"" src=""https://images.go.sage.com/EloquaImages/clients/SageGlobalInstance/%7B24ebd937-61cd-4c04-99c1-63b0a2b1260e%7D_illustration_placeholder.jpg"" style=""width:100%; max-width: 600px; height: auto; display: block"" width=""600"" class=""""> </a>
                                    </div>
                                  </td>
                                </tr>
                              </tbody>
                            </table>
                          </td>
                        </tr>
                        
                        <!-- End: Q4 Hero - Illustration with Headline & Primary CTA Above -->",Q4B,Yes,,https://images.go.sage.com/EloquaImages/clients/SageGlobalInstance/%7B101b5c6d-c0bf-4105-9c61-f07707989bb3%7D_builder5_q4Bot.png
Q2N,no button image w/o button,"<!-- Start: Q2 Hero - Photography with Headline & Primary CTA Below -->
                        
                        <tr>
                          <td>
                            <table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"" class=""fluid"" style=""margin: 0;padding-top:0;padding-right:0px;padding-bottom:0px;padding-left:0px; mso-cellspacing: 0px; mso-padding-alt: 0px 0px 0px 0px; border-collapse:collapse; mso-table-lspace:0pt;mso-table-rspace:0pt; background-color:#000000;"">
                              <tbody>
                                <tr>
                                  <td style=""margin: 0;padding-top:0;padding-right:0px;padding-bottom:0px;padding-left:0px; mso-cellspacing: 0px; mso-padding-alt: 0px 0px 0px 0px; border-collapse:collapse; mso-table-lspace:0pt;mso-table-rspace:0pt"">
                                  </td>
                                </tr>
                                <tr>
                                  <td align=""center"" valign=""top"" class=""max-width"" width=""100%"" style=""font-size:0;  padding: 0px 0px 0px 0px; mso-padding-alt: 0px 0px 0px 0px;"">
                                    
                                    <div data-cl-component=""Banner21"" data-cl-component-type=""linked_image"">
                                      <a href=""#""><img alt=""Sage"" border=""0"" src=""https://images.go.sage.com/EloquaImages/clients/SageGlobalInstance/%7B0ba8b26f-66a2-4c09-954e-37dd2fc5b40b%7D_photo_placeholder.jpg"" style=""width:100%; max-width: 600px; height: auto; display: block; border-collapse:collapse;"" width=""600"" class=""""> </a>
                                    </div>
                                  </td>
                                </tr>
                              </tbody>
                            </table>
                          </td>
                        </tr>
                        <tr bgcolor=""#000000"">
                          <td align=""center"" valign=""top"" style=""padding: 32px 40px 24px 40px;  mso-padding-alt: 32px 40px 24px 40px; mso-table-lspace: 0pt; mso-table-rspace: 0pt; border-collapse:collapse; background-color:#000000;"" class=""content"">
                            <table align=""left"" border=""0"" cellpadding=""0"" cellspacing=""0"" width=""100%"" style=""mso-cellspacing: 0px; mso-padding-alt: 0px; border-collapse:collapse"">
                              <tbody>
                                <tr>
                                  <td valign=""top"" align=""left"" style=""font-family: font-family: 'Sage-Headline-Black', Helvetica, Roboto, Segoe UI, Arial, SansSerif;  "">
                                    <div class="""">
                                      <div data-cl-component=""C1"" data-cl-component-type=""restricted_text"">
                                        <h2 style="" text-align: center; font-weight: 900; font-size: 28px; line-height: 43.2px; color: #ffffff; display: block; margin: 0px"" class="""">[50/2] Q2 Lorem ips dolar elit sit amat consectetur</h2>
                                      </div>
                                    </div>
                                  </td>
                                </tr>
                              </tbody>
                            </table>
                          </td>
                        </tr>
                                                  
                                                       
                        <!-- End: Q2 Hero - Photography with Headline & Primary CTA Below -->",Q2,Yes,,https://images.go.sage.com/EloquaImages/clients/SageGlobalInstance/%7B0a1a33aa-c757-4e7c-bc7a-41c43cadd337%7D_builder5_q2.png
Q3N,no change,"<!-- Start: Q3 Alert module -->
                        
                        <tr style="" border-collapse: collapse; display: block;"">
                          <td align=""center"" valign=""top"" bgcolor=""#ffffff"" height=""0"" border=""0"" style=""font-size: 0px; border-top: none; border-bottom: none; padding: 32px 40px 32px 40px; mso-padding-alt: 32px 40px 32px 40px; mso-table-lspace: 0pt; mso-table-rspace: 0pt; border-collapse:collapse; display: block;  font-family: 'Sage-Headline-Black', Helvetica, Roboto, Segoe UI, Arial, SansSerif; background-color: #ffffff; border:0 none;"" class="""">
                            <table width=""100%"" cellpadding=""0"" cellspacing=""0"" border=""0"" class=""fluid"" style=""margin: 0;padding-top:0;padding-right:0px;padding-bottom:0px;padding-left:0px; mso-cellspacing: 0px; mso-padding-alt: 0px 0px 0px 0px; border-collapse:collapse; mso-table-lspace:0pt;mso-table-rspace:0pt"">
                              <tbody>
                                <tr>
                                  <td valign=""top"" width=""32"" style=""mso-cellspacing: 0px; mso-padding-alt: 0px 0px 0px 0px; border-collapse:collapse; mso-table-lspace:0pt;mso-table-rspace:0pt"">
                                    <img src=""https://images.go.sage.com/EloquaImages/clients/SageGlobalInstance/%7B5824b19e-a8c7-4875-8a2e-996124d01790%7D_isymbol.png"" width=""32"" alt=""Sage"" style=""width:100%; max-width: 32px; height: auto; display: block"" border=""0"">
                                  </td>
                                  <td style=""line-height: 32px; margin: 0; mso-cellspacing: 0px; mso-padding-alt: 0px 0px 0px 0px; border-collapse:collapse; mso-table-lspace:0pt;mso-table-rspace:0pt; "" class="""">
                                    <div data-cl-component=""C15"" data-cl-component-type=""restricted_text"">
                                      <h2 style=""margin-top:0; font-weight:900; margin-left:16px; font-size: 28px; line-height:  33.6px; margin-top: 0; margin-bottom: 0;"" class="""">[60/2] Q3 Lorem ipsum dolor stit amet consetetur elit</h2>
                                    </div>
                                  </td>
                                </tr>
                              </tbody>
                            </table>
                          </td>
                        </tr>
                        
                        <!-- End: Q3 Alert module -->",Q3,Yes,,https://images.go.sage.com/EloquaImages/clients/SageGlobalInstance/%7B62383ac8-e667-44a0-82a7-1b32768f4549%7D_Q3.png
Q1AN,No change,"<!-- Start: Q1 Simple header, no hero image / illustration -->
                        
                        <tr>
                          <td align=""center"" valign=""top"" style=""padding: 30px 40px 30px 40px; mso-padding-alt: 32px 40px 32px 40px; mso-table-lspace: 0pt; mso-table-rspace: 0pt;  background-color: #000000;"" class=""content"">
                            <table align=""left"" border=""0"" cellpadding=""0"" cellspacing=""0"" width=""100%"" style=""mso-cellspacing: 0px; mso-padding-alt: 0px; border-collapse:collapse"">
                              <tbody>
                                <tr>
                                  <td valign=""top"" align=""left"" style=""
                                                                       font-family: 'Sage-Headline-Black', Helvetica, Roboto, Segoe UI, Arial, SansSerif; 
                                                                       font-weight: 900; 
                                                                       line-height: 42px;  
                                                                       display: block;"">
                                    <div data-cl-component=""C16"" data-cl-component-type=""restricted_text"">
                                      <h1 style="" text-align: center; font-weight:900; margin: 0px 0px 0px 0px; color: #ffffff; font-size: 36px; line-height: 43.2px; "" class="""">[60/3] Q1 Lorem ipsum dolor sit amet, adipiscing elit non</h1>
                                    </div>
                                  </td>
                                </tr>
                              </tbody>
                            </table>
                          </td>
                        </tr>
                        
                        <!-- End: Q1 Simple header, no hero image / illustration -->",Q1,Yes,,https://images.go.sage.com/EloquaImages/clients/SageGlobalInstance/%7Bf4127a1e-76a7-41a4-aad3-0b6f9e2d2da4%7D_Q1.png
C1AN,Had to recreate,"               <!-- Start: C1 Standard Headline / Subhead / Paragraph Text with inline CTA -->
                        
                        <tr>
                          <td align=""center"" valign=""top"" style=""padding: 32px 40px 32px 40px; mso-padding-alt: 32px 40px 32px 40px; mso-table-lspace: 0pt; mso-table-rspace: 0pt; border-collapse:collapse; background-color: #ffffff"" class=""content"">
                            <table align=""left"" border=""0"" cellpadding=""0"" cellspacing=""0"" width=""100%"" style=""mso-cellspacing: 0px; mso-padding-alt: 0px; border-collapse:collapse"">
                              <tbody>
                                <tr>
                                  <td valign=""top"" align=""left"" style=""font-family: 'Sage-Headline-Black', Helvetica, Roboto, Segoe UI, Arial, SansSerif; font-weight: 300; color: #000000; font-size: 16px; line-height: 30px;"" class="""">
                                    <div data-cl-component=""C10"" data-cl-component-type=""restricted_text"">
                                      <h2 style=""font-size: 28px; font-weight: 900; margin: 0px 0px 16px 0px; line-height:33px; color: #000000; display: block"" class="""">[70/2] C1 Consectetur adisicin elit minim dolore magna aliqua veniam</h2>
                                    </div>
                                  </td>
                                </tr>
                                <tr>
                                  <td valign=""top"" align=""left"" style=""line-height: 24px; font-family:  'Sage-Text', Helvetica, Arial; font-weight: 400; color: #000000; font-size: 16px;"">
                                    <div data-cl-component=""C111"" data-cl-component-type=""restricted_text"">
                                      <h3 style=""font-size: 16px; font-weight: 700; text-align: left; margin: 0px 0px 16px 0px; line-height: 24px; color: #000000; display: block"" class="""">[100/2] Mandeville carneiro robbins goas ross kelly ragan rodriguez stig jordan hodgekiss merlin yeaman.</h3>
                                      <p> Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim. <a href=""#"" style=""font-size: 16px; font-weight: bold;  text-decoration: underline; color:#008146;"" target=""_blank"">Find out more</a>
                                      </p>
                                    
                                    </div>
                                  </td>
                                </tr>
                             
                              </tbody>
                            </table>
                          </td>
                        </tr>
                        
                        <!-- End: C1 Standard Headline / Subhead / Paragraph Text with Inline CTA -->",C1,Yes,,https://images.go.sage.com/EloquaImages/clients/SageGlobalInstance/%7Bf1ffe6a8-af67-4fb9-9235-83eaa18daeaf%7D_C1.png
